"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE"
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",17400,MDIC,MIN DESENVOLV IND COMERCIO E SERVICOS,SIAPE
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",19,SUFRAMA,SUPERINTENDÊNCIA DA ZONA FRANCA DE MANAUS,40603,SUFRAMA,SUPERINTENDENCIA ZONA FRANCA DE MANAUS,SIAPE
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",31,INPI,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,30204,INPI,INSTITUTO NAC. DA PROPRIEDADE INDUSTRIAL,SIAPE
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",28000,MDIC,MINIST. DA IND. DO COMERCIO E DO TURISMO,SIAPE
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",9,INMETRO,"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",30203,INMETRO,"INST.NAC.METROLOGIA,NORM.E QUAL.INDL.",SIAPE
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",19,SUFRAMA,SUPERINTENDÊNCIA DA ZONA FRANCA DE MANAUS,19,SUFRAMA,Superintendência da Zona Franca de Manaus,SIORG
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",9,INMETRO,"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",9,INMETRO,"Instituto Nacional de Metrologia, Qualidade e Tecnologia",SIORG
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",31,INPI,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,31,INPI,Instituto Nacional da Propriedade Industrial,SIORG
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",201,MDIC,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",SIORG
194,MDS,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE À FOME",194,MDS,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE À FOME",55100,MDS,MIN DESENV ASSIS SOCI FAMIL COMBATE FOME,SIAPE
194,MDS,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE À FOME",194,MDS,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE À FOME",194,MDS,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",SIORG
10,MEC,MINISTÉRIO DA EDUCAÇÃO,44,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,26236,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,40,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,26238,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,50,UFRPE,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,26248,UFRPE,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,68,UNIFESP,UNIVERSIDADE FEDERAL DE SÃO PAULO,26262,UNIFESP,UNIVERSIDADE FEDERAL DE SAO PAULO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,67,UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,26263,UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,174,UFCA,UNIVERSIDADE FEDERAL DO CARIRI,26449,UFCA,UNIVERSIDADE FEDERAL DO CARIRI,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,171,UFSB,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,26450,UFSB,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,46,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,26246,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,45,UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,26241,UFPR,UNIVERSIDADE FEDERAL DO PARANA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,111,UFGD,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,26350,UFGD,FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,86,UFCSPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,26284,UFCSPA,FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,13,FNDE,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,26298,FNDE,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,100,UFRB,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,26351,UFRB,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,133,IF BAIANO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",26404,IF BAIANO,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO",SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,35,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,26242,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,34,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,26243,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,58,UTFPR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,26258,UTFPR,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,41,UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,26237,UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,42,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26234,UFES,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,32,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,26239,UFPA,UNIVERSIDADE FEDERAL DO PARA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,48,UFSM,UNIVERSIDADE FEDERAL DE SANTA MARIA,26247,UFSM,UNIVERSIDADE FEDERAL DE SANTA MARIA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,49,UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,26249,UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,101,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,26250,UFRR,UNIVERSIDADE FEDERAL DE RORAIMA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,166,UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,26252,UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,66,UNIFEI,UNIVERSIDADE FEDERAL DE ITAJUBÁ,26261,UNIFEI,UNIVERSIDADE FEDERAL DE ITAJUBA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,16,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,26269,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,153,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,26441,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,43,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26245,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,63,UFTM,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,26254,UFTM,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,64,UFVJM,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,26255,UFVJM,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,12,CAPES,FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,26291,CAPES,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,157,UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,26266,UNIPAMPA,FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,SIAFI
10,MEC,MINISTÉRIO DA EDUCAÇÃO,80,FURG,FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE,26273,FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,SIAFI
